交接单信息,
箱号,BOX-CSV-S3-20260606155944
交接ID,132
起点,CP001
终点,TP001
交出人,Dr. Zhang
接收人,Dr. Li
交接时间,2026-06-06 08:00:36.542903
交接温度,4.3
规则版本,v1.0
是否已撤回,False
撤回时间,None
撤回人,
撤回原因,

样本清单,,,,
序号,样本条码,样本类型,采集点,采集时间,状态
1,SAMP-CSV-20260606080018-0,blood,CP001,2026-06-06T08:00:18.380884,IN_TRANSIT
2,SAMP-CSV-20260606080020-1,blood,CP001,2026-06-06T08:00:20.394450,IN_TRANSIT
3,SAMP-CSV-20260606080022-2,blood,CP001,2026-06-06T08:00:22.411809,IN_TRANSIT
4,SAMP-CSV-20260606080024-3,blood,CP001,2026-06-06T08:00:24.429965,IN_TRANSIT
5,SAMP-CSV-20260606080026-4,blood,CP001,2026-06-06T08:00:26.449453,IN_TRANSIT

