交接单信息,
箱号,BOX-CSV-S3-20260606160515
交接ID,140
起点,CP001
终点,TP001
交出人,Dr. Zhang
接收人,Dr. Li
交接时间,2026-06-06 08:06:08.262705
交接温度,4.3
规则版本,v1.0
是否已撤回,False
撤回时间,None
撤回人,
撤回原因,

样本清单,,,,
序号,样本条码,样本类型,采集点,采集时间,状态
1,SAMP-CSV-20260606080550-0,blood,CP001,2026-06-06T08:05:50.106920,IN_TRANSIT
2,SAMP-CSV-20260606080552-1,blood,CP001,2026-06-06T08:05:52.119991,IN_TRANSIT
3,SAMP-CSV-20260606080554-2,blood,CP001,2026-06-06T08:05:54.144523,IN_TRANSIT
4,SAMP-CSV-20260606080556-3,blood,CP001,2026-06-06T08:05:56.163033,IN_TRANSIT
5,SAMP-CSV-20260606080558-4,blood,CP001,2026-06-06T08:05:58.179948,IN_TRANSIT

