交接单信息,
箱号,BOX-CSV-S3-20260606163124
交接ID,194
起点,CP001
终点,TP001
交出人,Dr. Zhang
接收人,Dr. Li
交接时间,2026-06-06 08:32:16.918730
交接温度,4.3
规则版本,v1.0
是否已撤回,False
撤回时间,None
撤回人,
撤回原因,

样本清单,,,,
序号,样本条码,样本类型,采集点,采集时间,状态
1,SAMP-CSV-20260606083158-0,blood,CP001,2026-06-06T08:31:58.765589,IN_TRANSIT
2,SAMP-CSV-20260606083200-1,blood,CP001,2026-06-06T08:32:00.785840,IN_TRANSIT
3,SAMP-CSV-20260606083202-2,blood,CP001,2026-06-06T08:32:02.802115,IN_TRANSIT
4,SAMP-CSV-20260606083204-3,blood,CP001,2026-06-06T08:32:04.816417,IN_TRANSIT
5,SAMP-CSV-20260606083206-4,blood,CP001,2026-06-06T08:32:06.833356,IN_TRANSIT

