交接单信息,
箱号,BOX-CSV-S2-20260606161439
交接ID,163
起点,CP001
终点,TP002
交出人,Dr. Zhang
接收人,Dr. Wang
交接时间,2026-06-06 08:15:12.302429
交接温度,4.3
规则版本,v1.0
是否已撤回,False
撤回时间,None
撤回人,
撤回原因,

样本清单,,,,
序号,样本条码,样本类型,采集点,采集时间,状态
1,SAMP-CSV-20260606081456-0,blood,CP001,2026-06-06T08:14:56.166852,IN_TRANSIT
2,SAMP-CSV-20260606081458-1,blood,CP001,2026-06-06T08:14:58.184935,IN_TRANSIT

撤回历史,,,,,
序号,交接ID,起点,终点,交出人,接收人,交接时间,撤回时间,撤回人,撤回原因
1,162,CP001,TP001,Dr. Zhang,Dr. Li,2026-06-06T08:15:08.261510,2026-06-06T08:15:10.282779,Dr. Li,样本信息有误
