交接单信息,
箱号,BOX-CSV-S3-20260606161202
交接ID,156
起点,CP001
终点,TP001
交出人,Dr. Zhang
接收人,Dr. Li
交接时间,2026-06-06 08:12:54.912466
交接温度,4.3
规则版本,v1.0
是否已撤回,False
撤回时间,None
撤回人,
撤回原因,

样本清单,,,,
序号,样本条码,样本类型,采集点,采集时间,状态
1,SAMP-CSV-20260606081236-0,blood,CP001,2026-06-06T08:12:36.761006,IN_TRANSIT
2,SAMP-CSV-20260606081238-1,blood,CP001,2026-06-06T08:12:38.779475,IN_TRANSIT
3,SAMP-CSV-20260606081240-2,blood,CP001,2026-06-06T08:12:40.794428,IN_TRANSIT
4,SAMP-CSV-20260606081242-3,blood,CP001,2026-06-06T08:12:42.811411,IN_TRANSIT
5,SAMP-CSV-20260606081244-4,blood,CP001,2026-06-06T08:12:44.824829,IN_TRANSIT

