交接单信息,
箱号,BOX-CSV-S4-20260606161816
交接ID,175
起点,CP001
终点,TP003
交出人,Dr. Zhang
接收人,Dr. Zhao
交接时间,2026-06-06 08:19:31.312432
交接温度,4.3
规则版本,v1.0
是否已撤回,False
撤回时间,None
撤回人,
撤回原因,

样本清单,,,,
序号,样本条码,样本类型,采集点,采集时间,状态
1,SAMP-CSV-20260606081911-0,blood,CP001,2026-06-06T08:19:11.137558,IN_TRANSIT
2,SAMP-CSV-20260606081913-1,blood,CP001,2026-06-06T08:19:13.152399,IN_TRANSIT

撤回历史,,,,,
序号,交接ID,起点,终点,交出人,接收人,交接时间,撤回时间,撤回人,撤回原因
1,174,CP001,TP002,Dr. Zhang,Dr. Wang,2026-06-06T08:19:27.273244,2026-06-06T08:19:29.291348,Dr. Wang,第二次撤回
2,173,CP001,TP001,Dr. Zhang,Dr. Li,2026-06-06T08:19:23.224576,2026-06-06T08:19:25.252144,Dr. Li,第一次撤回
