交接单信息,
箱号,BOX-CSV-S2-20260606163124
交接ID,193
起点,CP001
终点,TP002
交出人,Dr. Zhang
接收人,Dr. Wang
交接时间,2026-06-06 08:31:56.740592
交接温度,4.3
规则版本,v1.0
是否已撤回,False
撤回时间,None
撤回人,
撤回原因,

样本清单,,,,
序号,样本条码,样本类型,采集点,采集时间,状态
1,SAMP-CSV-20260606083140-0,blood,CP001,2026-06-06T08:31:40.584745,IN_TRANSIT
2,SAMP-CSV-20260606083142-1,blood,CP001,2026-06-06T08:31:42.601110,IN_TRANSIT

撤回历史,,,,,
序号,交接ID,起点,终点,交出人,接收人,交接时间,撤回时间,撤回人,撤回原因
1,192,CP001,TP001,Dr. Zhang,Dr. Li,2026-06-06T08:31:52.695229,2026-06-06T08:31:54.718182,Dr. Li,样本信息有误
