交接单信息,
箱号,BOX-CSV-S3-20260606161439
交接ID,164
起点,CP001
终点,TP001
交出人,Dr. Zhang
接收人,Dr. Li
交接时间,2026-06-06 08:15:32.468870
交接温度,4.3
规则版本,v1.0
是否已撤回,False
撤回时间,None
撤回人,
撤回原因,

样本清单,,,,
序号,样本条码,样本类型,采集点,采集时间,状态
1,SAMP-CSV-20260606081514-0,blood,CP001,2026-06-06T08:15:14.324039,IN_TRANSIT
2,SAMP-CSV-20260606081516-1,blood,CP001,2026-06-06T08:15:16.339888,IN_TRANSIT
3,SAMP-CSV-20260606081518-2,blood,CP001,2026-06-06T08:15:18.353848,IN_TRANSIT
4,SAMP-CSV-20260606081520-3,blood,CP001,2026-06-06T08:15:20.372121,IN_TRANSIT
5,SAMP-CSV-20260606081522-4,blood,CP001,2026-06-06T08:15:22.391334,IN_TRANSIT

