交接单信息,
箱号,BOX-CSV-S2-20260606160515
交接ID,139
起点,CP001
终点,TP002
交出人,Dr. Zhang
接收人,Dr. Wang
交接时间,2026-06-06 08:05:48.078394
交接温度,4.3
规则版本,v1.0
是否已撤回,False
撤回时间,None
撤回人,
撤回原因,

样本清单,,,,
序号,样本条码,样本类型,采集点,采集时间,状态
1,SAMP-CSV-20260606080531-0,blood,CP001,2026-06-06T08:05:31.938877,IN_TRANSIT
2,SAMP-CSV-20260606080533-1,blood,CP001,2026-06-06T08:05:33.955587,IN_TRANSIT

撤回历史,,,,,
序号,交接ID,起点,终点,交出人,接收人,交接时间,撤回时间,撤回人,撤回原因
1,138,CP001,TP001,Dr. Zhang,Dr. Li,2026-06-06T08:05:44.032655,2026-06-06T08:05:46.058168,Dr. Li,样本信息有误
