交接单信息,
箱号,BOX-CSV-S4-20260606160913
交接ID,151
起点,CP001
终点,TP003
交出人,Dr. Zhang
接收人,Dr. Zhao
交接时间,2026-06-06 08:10:27.762431
交接温度,4.3
规则版本,v1.0
是否已撤回,False
撤回时间,None
撤回人,
撤回原因,

样本清单,,,,
序号,样本条码,样本类型,采集点,采集时间,状态
1,SAMP-CSV-20260606081007-0,blood,CP001,2026-06-06T08:10:07.575955,IN_TRANSIT
2,SAMP-CSV-20260606081009-1,blood,CP001,2026-06-06T08:10:09.591467,IN_TRANSIT

撤回历史,,,,,
序号,交接ID,起点,终点,交出人,接收人,交接时间,撤回时间,撤回人,撤回原因
1,150,CP001,TP002,Dr. Zhang,Dr. Wang,2026-06-06T08:10:23.722855,2026-06-06T08:10:25.742658,Dr. Wang,第二次撤回
2,149,CP001,TP001,Dr. Zhang,Dr. Li,2026-06-06T08:10:19.683664,2026-06-06T08:10:21.703325,Dr. Li,第一次撤回
