交接单信息,
箱号,BOX-CSV-S3-20260606161816
交接ID,172
起点,CP001
终点,TP001
交出人,Dr. Zhang
接收人,Dr. Li
交接时间,2026-06-06 08:19:09.112353
交接温度,4.3
规则版本,v1.0
是否已撤回,False
撤回时间,None
撤回人,
撤回原因,

样本清单,,,,
序号,样本条码,样本类型,采集点,采集时间,状态
1,SAMP-CSV-20260606081850-0,blood,CP001,2026-06-06T08:18:50.943124,IN_TRANSIT
2,SAMP-CSV-20260606081852-1,blood,CP001,2026-06-06T08:18:52.963342,IN_TRANSIT
3,SAMP-CSV-20260606081854-2,blood,CP001,2026-06-06T08:18:54.978073,IN_TRANSIT
4,SAMP-CSV-20260606081856-3,blood,CP001,2026-06-06T08:18:56.994264,IN_TRANSIT
5,SAMP-CSV-20260606081859-4,blood,CP001,2026-06-06T08:18:59.012657,IN_TRANSIT

