交接单信息,
箱号,BOX-CSV-S3-20260606160913
交接ID,148
起点,CP001
终点,TP001
交出人,Dr. Zhang
接收人,Dr. Li
交接时间,2026-06-06 08:10:05.543290
交接温度,4.3
规则版本,v1.0
是否已撤回,False
撤回时间,None
撤回人,
撤回原因,

样本清单,,,,
序号,样本条码,样本类型,采集点,采集时间,状态
1,SAMP-CSV-20260606080947-0,blood,CP001,2026-06-06T08:09:47.387994,IN_TRANSIT
2,SAMP-CSV-20260606080949-1,blood,CP001,2026-06-06T08:09:49.413614,IN_TRANSIT
3,SAMP-CSV-20260606080951-2,blood,CP001,2026-06-06T08:09:51.428729,IN_TRANSIT
4,SAMP-CSV-20260606080953-3,blood,CP001,2026-06-06T08:09:53.443361,IN_TRANSIT
5,SAMP-CSV-20260606080955-4,blood,CP001,2026-06-06T08:09:55.457497,IN_TRANSIT

